Date,Amount Spent,Amount Received,Title,Success 
12/3/2019,,,OWO COOPERATIVE,0
12/14/2019,,,CAN YOU IMAGINE THIS LADY,0
1/2/2020,"₦20,000.00",,THIS MAN NEEDS YOUR ADVISE,1
1/4/2020,"₦1,000,000.00",,DODGED A BULLET,1
1/15/2020,,,DOUBLE WAHALA OOO,0
2/5/2020,"₦500,000.00",,VIDEO CALL,0
3/12/2020,"₦300,000.00",,HAA WARRIIII,0
3/28/2020,"₦500,000.00",,QUARANTINE PLAN,0
4/12/2020,"₦2,000,000.00",,EASTER SURPRISE 😂😍,0
4/19/2020,"₦100,000.00",,WAHALA IN THE SOCIETY 😩💔,0
4/23/2020,"₦125,000.00",,ELLA 😩💔,0
5/5/2020,"₦400,000.00",,THE MAID 😩🙆🏾‍♂️,0
5/15/2020,"₦300,000.00",,DUDUKE 😩😭💔,0
6/1/2020,"₦1,500.00",,FANTABULOUS,0
6/2/2020,"₦300,000.00",,SCREAM 😩🙆🏾‍♂️💔,0
7/25/2020,"₦850,000.00",,MY IBADAN ENCOUNTER,0
7/31/2020,"₦500,000.00",,SALLAH IN YABA 😂,0
8/5/2020,"₦50,000.00","₦50,000.00",THE REVERSAL 😂🤣🙏🏾,0
8/11/2020,"₦300,000.00","₦10,000,000.00",BENEFIT PAPA WITH TOKE MAKINWA,0
9/11/2020,,,THE GOOD LIFE 😂😩🙆🏾‍♂️,0
11/29/2020,"₦5,000,000.00",,VILLA PICASSO WITH YVONNE JEGEDE 👅🥰🎉,0
1/16/2021,"₦1,000,000.00",,NOT AGAIN 😫😭😂😂,0
1/30/2021,"₦10,000,000.00",,MUMMY WA GOES FREAKY WITH NINO B 😭🙆🏾‍♂️😂,1
2/5/2021,"₦1,000,000.00",,STUPID LOVE 😂😭🤦🏾‍♂️🙆🏾‍♂️,1
3/13/2021,"₦10,000,000.00",,THE ROBBERY FT ZUBBY 😂😭🙆🏾‍♂️,0
3/25/2021,"₦500,000.00",,CALL ZADDY 👅,0
4/5/2021,"₦500,000.00",,FREAKY MULATO WITH DONJAZZY,0
4/25/2021,"₦1,000,000.00",,TRAILER JAM 😂😭🙆🏾‍♂️,0
5/24/2021,"₦500,000.00",,DELIVERANCE FROM FREAKY FREAKY 🤣,1
6/17/2021,"₦100,000.00",,DADDY WA FALLS INTO TEMPTATION | CARAMEL PLUG | E DEY SHAKE,0
7/7/2021,"₦2,559,000.00",,WE RISE BY LIFTING OTHERS | MR MACARONI | FUNSHO ADEOLU,0
7/29/2021,"₦1,500,000.00",,HANDICAPPED 🤣😭🙆🏾‍♂️,0
8/18/2021,"₦1,000,000.00",,MONALISA 🤣😭🙆🏾‍♂️,0
9/15/2021,"₦4,000,000.00",,MUMMY WA CASH OUT,0
9/26/2021,"₦5,000,000.00",,HEAD OFFICE | MR MACARONI | AKIN LEWIS | LILY AFE | AARE,0
11/26/2021,"₦500,000.00",,THE FITNESS GURU | MR MACARONI | NAUTICAL,0
12/3/2021,"₦5,000,000.00",,ERICA MEETS MR MACARONI,0
12/8/2021,"₦2,000,000.00",,PRAYER MEETING | MR MACARONI | NAOMI | MUMMY WA | KOREX,0
12/11/2021,"₦600,000.00",,DADDY WA THE MECHANIC | MR MACARONI | ADENIYI JOHNSON | JOJO,0
12/14/2021,"₦500,000.00",,FREAKY DADDY VS PROFESSOR HARDLIFE | MR MACARONI | PEACE OLAYEMI,0
12/27/2021,"₦2,000,000.00",,FATHER CHRISTMAS | MR MACARONI | BOLAJI OGUNMOLA,0
1/7/2022,₦0.00,"₦10,000,000.00",NEW YEAR NEW ME | MR MACARONI | QUEEN | DADDY WA IS CASHING OUT,0
1/11/2022,"₦10,000,000.00","₦20,000,000.00",HOW WE ROLL IN LAGOS | MR MACARONI | MERCY EKE | LAMBO,1
1/19/2022,"₦5,000,000.00",,MR MACARONI GETS A MASSAGE | NINO B | CEE C,0
1/29/2022,"₦5,010,500.00",,DEAL OR NO DEAL? | MR MACARONI | OMOBORTY | BIODUN OKEOWO,0